,id,unix_time,gps_x,gps_y
0,106651735,1514823900.0,15.0965,52.80861111111111
1,106651547,1514805720.0,15.088222222222223,52.0805
2,106650053,1514774280.0,14.660222222222222,52.59811111111111
3,106650114,1514766600.0,15.21561111111111,52.73425
4,106651434,1514768340.0,15.360305555555556,51.83361111111111
5,106650088,1514785260.0,15.834111111111111,52.35627777777778
6,106651760,1514846400.0,15.677027777777777,52.85675
7,106651489,1514765640.0,15.218583333333333,51.85669444444444
8,106650164,1514829600.0,15.543333333333333,52.85444444444445
9,106658712,1514774400.0,15.517777777777777,51.93505555555556
10,106650194,1514836800.0,15.238277777777778,52.672916666666666
11,106657759,1514915400.0,15.241861111111112,52.55591666666667
12,106652229,1514890020.0,15.206194444444444,52.59061111111111
13,106650299,1514876100.0,15.52588888888889,52.87444444444444
14,106652565,1514890500.0,15.70513888888889,51.79986111111111
15,106651865,1514875980.0,15.132194444444444,51.63280555555556
16,106654021,1514920500.0,15.210972222222223,52.73566666666667
17,106700709,1514892600.0,15.273388888888888,52.76338888888889
18,106652470,1514896800.0,14.605444444444444,50.947472222222224
19,106653884,1514899200.0,16.173694444444443,51.85030555555556
20,106652759,1514911200.0,14.749444444444444,52.63133333333333
21,106654074,1514907420.0,14.61975,52.34561111111111
22,106652494,1514887920.0,15.495555555555555,51.92675
23,106653829,1514889780.0,15.41086111111111,51.98766666666667
24,106652193,1514889060.0,15.525333333333334,52.246138888888886
25,106652741,1514906700.0,15.232305555555556,52.73297222222222
26,106650392,1514875140.0,15.364055555555556,52.41013888888889
27,106654046,1514920140.0,14.646666666666667,52.39852777777778
28,106658892,1514869200.0,15.587861111111112,52.45044444444444
29,106654075,1514899200.0,15.560194444444445,51.93844444444444
30,106652459,1514890800.0,,
31,106653882,1514910420.0,15.29213888888889,52.334361111111114
32,106650615,1514872440.0,15.558805555555555,51.92375
33,106654073,1514916960.0,15.438888888888888,51.94722222222222
34,106652808,1514914200.0,15.476666666666667,51.93633333333333
35,106654072,1514901780.0,15.340666666666667,51.97816666666667
36,106652872,1514913600.0,15.673722222222223,51.86763888888889
37,106651802,1514868000.0,15.719666666666667,51.79077777777778
38,106651877,1514875200.0,15.200472222222222,52.73708333333333
39,106650492,1514889600.0,15.27625,52.73583333333333
40,106653698,1514905200.0,15.241166666666667,52.72852777777778
41,106654019,1514919900.0,14.884194444444445,51.63605555555556
42,106650306,1514877600.0,15.30161111111111,52.66466666666667
43,106652354,1514891520.0,15.237916666666667,52.731611111111114
44,106652722,1514902680.0,15.67661111111111,51.64652777777778
45,106653742,1514905560.0,15.580722222222223,52.462583333333335
46,106652787,1514910600.0,14.643083333333333,52.60011111111111
47,106746189,1514874300.0,15.034083333333333,52.464194444444445
48,106656394,1515007200.0,15.832833333333333,52.068222222222225
49,106654342,1514959200.0,15.426638888888888,52.72580555555555
50,106656365,1515005160.0,15.11125,51.664611111111114
51,106655082,1514972400.0,15.675888888888888,51.79505555555556
52,106654339,1514955000.0,15.604527777777777,52.72391666666667
53,106655327,1514995800.0,15.217083333333333,52.743722222222225
54,106663969,1514960700.0,15.161666666666667,51.69166666666667
55,106655365,1515002400.0,15.533583333333333,52.24738888888889
56,106656393,1514992800.0,15.548416666666666,51.946083333333334
57,106655134,1514988900.0,16.104111111111113,51.7865
58,106655997,1514994180.0,15.74613888888889,52.01277777777778
59,106664033,1514953800.0,16.119194444444446,51.80927777777778
60,106655805,1514978100.0,15.493,51.92836111111111
61,106655355,1515010800.0,15.521944444444445,52.24319444444444
62,106656415,1514985720.0,15.514222222222223,51.940305555555554
63,106655854,1514961000.0,15.656138888888888,51.873305555555554
64,106656244,1514985900.0,15.51838888888889,51.944805555555554
65,106658044,1514989800.0,16.05902777777778,51.9575
66,106655087,1514983800.0,15.534944444444445,52.87063888888889
67,106656337,1514998800.0,15.653972222222222,52.82463888888889
68,106655019,1514972940.0,15.393777777777778,51.853833333333334
69,106654275,1514965500.0,15.534888888888888,52.2485
70,106656235,1514998800.0,15.276333333333334,52.736
71,106655987,1514985720.0,15.23375,51.98683333333334
72,106655865,1514984820.0,15.527972222222223,51.563694444444444
73,106655740,1514981220.0,16.18563888888889,51.48213888888889
74,106654403,1514957400.0,15.751305555555556,51.73486111111111
75,106655892,1514986680.0,15.57425,51.54713888888889
76,106657881,1514995200.0,15.142888888888889,51.647194444444445
77,106655041,1514976840.0,14.885333333333334,52.463972222222225
78,106654365,1514961600.0,15.208666666666666,52.73802777777778
79,106656362,1515010080.0,15.593472222222221,52.16755555555556
80,106668804,1514985000.0,14.64575,52.39808333333333
81,106655889,1514984100.0,15.329333333333333,51.61838888888889
82,106654814,1514958180.0,14.646666666666667,52.354166666666664
83,106656348,1515010800.0,15.24975,52.718666666666664
84,106657541,1515007800.0,15.2215,51.52558333333333
85,106668432,1514966400.0,15.100583333333333,52.054
86,106655881,1514985300.0,15.240916666666667,52.7235
87,106654763,1514959440.0,15.254444444444445,52.73383333333334
88,106655816,1514979120.0,15.480444444444444,51.93194444444445
89,106654455,1514962200.0,14.630777777777778,52.594166666666666
90,106654999,1514975160.0,15.27,52.75775
91,106654241,1514958600.0,15.46325,52.706694444444445
92,106655324,1514988000.0,15.043222222222223,52.77291666666667
93,106655729,1514979600.0,15.23863888888889,52.73288888888889
94,106657779,1515062100.0,15.25986111111111,52.717666666666666
95,106662743,1515092400.0,,
96,106668591,1515082500.0,15.043388888888888,52.04994444444444
97,106664906,1515099600.0,15.24675,51.54105555555556
98,106658241,1515090000.0,15.246888888888888,52.757555555555555
99,106670838,1515087600.0,15.127777777777778,51.597055555555556
100,106658049,1515075600.0,15.245027777777779,52.75913888888889
101,106657390,1515093060.0,14.442666666666666,51.55222222222222
102,106658326,1515080340.0,15.112166666666667,51.63458333333333
103,106656945,1515056400.0,15.225388888888888,52.730472222222225
104,106657731,1515060300.0,15.255722222222222,52.73536111111111
105,106658272,1515093000.0,15.224972222222222,52.74480555555556
106,106657377,1515091740.0,15.492583333333334,51.94
107,106658204,1515086640.0,15.52361111111111,51.94166666666667
108,106663052,1515070800.0,15.12975,52.441694444444444
109,106656552,1515044460.0,15.610888888888889,51.92658333333333
110,106657977,1515072600.0,15.124527777777777,52.776833333333336
111,106658355,1515091320.0,15.70961111111111,52.22786111111111
112,106666295,1515084000.0,,
113,106658385,1515097800.0,15.831305555555556,52.56052777777778
114,106658161,1515080100.0,15.327833333333333,52.75505555555556
